tag,scenario,mode,vision_only,audio_backend,rep,rc,seconds,started_iso,out_path
mas-auction-r4,audio_glass_break_01,mas-auction,False,auto,4,0,31.8,2026-08-18T17:07:54,results/run_audio_glass_break_01_mas-auction-r4.json
mas-auction-visiononly-r1,audio_glass_break_01,mas-auction,True,auto,1,0,8.1,2026-08-18T17:08:26,results/run_audio_glass_break_01_mas-auction-visiononly-r1.json
mas-auction-visiononly-r2,audio_glass_break_01,mas-auction,True,auto,2,0,8.1,2026-08-18T17:08:34,results/run_audio_glass_break_01_mas-auction-visiononly-r2.json
mas-auction-visiononly-r3,audio_glass_break_01,mas-auction,True,auto,3,0,8.1,2026-08-18T17:08:42,results/run_audio_glass_break_01_mas-auction-visiononly-r3.json
mas-auction-visiononly-r4,audio_glass_break_01,mas-auction,True,auto,4,0,8.1,2026-08-18T17:08:50,results/run_audio_glass_break_01_mas-auction-visiononly-r4.json
mas-rules-r1,audio_glass_break_01,mas-rules,False,auto,1,0,31.9,2026-08-18T17:08:58,results/run_audio_glass_break_01_mas-rules-r1.json
mas-rules-r2,audio_glass_break_01,mas-rules,False,auto,2,0,31.8,2026-08-18T17:09:30,results/run_audio_glass_break_01_mas-rules-r2.json
mas-rules-r3,audio_glass_break_01,mas-rules,False,auto,3,0,31.7,2026-08-18T17:10:02,results/run_audio_glass_break_01_mas-rules-r3.json
mas-rules-r4,audio_glass_break_01,mas-rules,False,auto,4,0,33.1,2026-08-18T17:10:34,results/run_audio_glass_break_01_mas-rules-r4.json
mas-rules-visiononly-r1,audio_glass_break_01,mas-rules,True,auto,1,0,8.4,2026-08-18T17:11:07,results/run_audio_glass_break_01_mas-rules-visiononly-r1.json
mas-rules-visiononly-r2,audio_glass_break_01,mas-rules,True,auto,2,0,8.2,2026-08-18T17:11:15,results/run_audio_glass_break_01_mas-rules-visiononly-r2.json
mas-rules-visiononly-r3,audio_glass_break_01,mas-rules,True,auto,3,0,8.1,2026-08-18T17:11:23,results/run_audio_glass_break_01_mas-rules-visiononly-r3.json
mas-rules-visiononly-r4,audio_glass_break_01,mas-rules,True,auto,4,0,8.1,2026-08-18T17:11:31,results/run_audio_glass_break_01_mas-rules-visiononly-r4.json
mas-nocoord-r1,audio_glass_break_01,mas-nocoord,False,auto,1,0,31.8,2026-08-18T17:11:40,results/run_audio_glass_break_01_mas-nocoord-r1.json
mas-nocoord-r2,audio_glass_break_01,mas-nocoord,False,auto,2,0,31.8,2026-08-18T17:12:11,results/run_audio_glass_break_01_mas-nocoord-r2.json
mas-nocoord-r3,audio_glass_break_01,mas-nocoord,False,auto,3,0,31.8,2026-08-18T17:12:43,results/run_audio_glass_break_01_mas-nocoord-r3.json
mas-nocoord-r4,audio_glass_break_01,mas-nocoord,False,auto,4,0,31.9,2026-08-18T17:13:15,results/run_audio_glass_break_01_mas-nocoord-r4.json
mas-nocoord-visiononly-r1,audio_glass_break_01,mas-nocoord,True,auto,1,0,8.1,2026-08-18T17:13:47,results/run_audio_glass_break_01_mas-nocoord-visiononly-r1.json
mas-nocoord-visiononly-r2,audio_glass_break_01,mas-nocoord,True,auto,2,0,8.1,2026-08-18T17:13:55,results/run_audio_glass_break_01_mas-nocoord-visiononly-r2.json
mas-nocoord-visiononly-r3,audio_glass_break_01,mas-nocoord,True,auto,3,0,8.1,2026-08-18T17:14:03,results/run_audio_glass_break_01_mas-nocoord-visiononly-r3.json
mas-nocoord-visiononly-r4,audio_glass_break_01,mas-nocoord,True,auto,4,0,8.2,2026-08-18T17:14:11,results/run_audio_glass_break_01_mas-nocoord-visiononly-r4.json
centralized-r1,audio_glass_break_01,centralized,False,auto,1,0,14.7,2026-08-18T17:14:20,results/run_audio_glass_break_01_centralized-r1.json
centralized-r2,audio_glass_break_01,centralized,False,auto,2,0,14.7,2026-08-18T17:14:34,results/run_audio_glass_break_01_centralized-r2.json
centralized-r3,audio_glass_break_01,centralized,False,auto,3,0,14.8,2026-08-18T17:14:49,results/run_audio_glass_break_01_centralized-r3.json
